Role,Department,Risk Level,Technical Level,Mandatory Modules,Recommended Modules,Scenario Focus,Description
IT Technician,Information and Communication Technology,high,advanced,"Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Module 9","Module 5,Module 6,Module 10",network_security,Manages critical IT infrastructure and has elevated system access.
Manager IT,Information and Communication Technology,high,advanced,"Module 1,Module 2,Module 3,Module 4,Module 7,Module 8,Module 9,Module 10","Module 5,Module 6",leadership,Leads the IT team and is responsible for organizational security policies.
IT Support Officer,Information and Communication Technology,high,intermediate,"Module 1,Module 2,Module 3,Module 7,Module 8,Module 9","Module 4,Module 5,Module 6,Module 10",user_support,Provides technical support and has access to user systems.
Financial Accountant,Finance,high,intermediate,"Module 1,Module 2,Module 3,Module 4,Module 5","Module 6,Module 7,Module 8,Module 10",financial_data,"Handles sensitive financial data, payments, and is a target for Business Email Compromise."
Principal Commercial Engineer,Commercial,high,intermediate,"Module 1,Module 2,Module 4,Module 5,Module 10","Module 3,Module 6,Module 7",commercial_data,Manages critical commercial contracts and sensitive partner information.
Control Engineer,Operations and Maintenance,medium,intermediate,"Module 1,Module 2,Module 3,Module 6,Module 7","Module 4,Module 5,Module 8",operational_systems,Operates critical power systems and industrial control infrastructure.
Human Resource Officer,Human Resource and Administration,medium,basic,"Module 1,Module 2,Module 3,Module 4,Module 10","Module 5,Module 6,Module 8",personal_data,Handles employee personal information and confidential HR data.
Administration Officer,Human Resource and Administration,standard,basic,"Module 1,Module 2,Module 3,Module 5,Module 6,Module 10","Module 4,Module 8",office_security,Handles general administrative tasks and office coordination.
Driver,Human Resource and Administration,standard,basic,"Module 1,Module 6,Module 8","Module 3,Module 5",physical_security,Responsible for physical security of vehicles and transportation logistics.
Legal Officer,Legal,medium,basic,"Module 1,Module 2,Module 4,Module 10","Module 3,Module 5,Module 6",legal_data,Handles confidential legal documents and corporate compliance information.
Principal Planning Engineer,System Planning and Investment,medium,intermediate,"Module 1,Module 2,Module 4,Module 7","Module 3,Module 5,Module 6",project_data,Manages long-term investment projects and sensitive planning data.
Principal Protection Engineer,Operations and Maintenance,high,advanced,"Module 1,Module 2,Module 3,Module 6,Module 7","Module 4,Module 5,Module 8,Module 9",grid_security,Manages critical protection systems for the national power grid.
Senior Civil Engineer,Projects Implementation and Management,medium,intermediate,"Module 1,Module 2,Module 6,Module 7","Module 3,Module 4,Module 5",infrastructure_projects,Oversees major infrastructure projects and sensitive contractor data.
Stores Assistant,Finance,standard,basic,"Module 1,Module 3,Module 6","Module 2,Module 5",inventory_security,Manages inventory and physical assets in the company stores.
Senior Accountant,Finance,high,intermediate,"Module 1,Module 2,Module 3,Module 4,Module 5,Module 10","Module 6,Module 7",advanced_financial_data,"Oversees financial records, handles sensitive transactions and manages accounting functions."
Principal Projects Engineer,Projects Implementation and Management,medium,intermediate,"Module 1,Module 2,Module 4,Module 6,Module 7","Module 3,Module 5,Module 10",project_management,Leads major engineering projects and manages sensitive project data and timelines.
Senior Human Resource Officer,Human Resource and Administration,medium,basic,"Module 1,Module 2,Module 3,Module 4,Module 10","Module 5,Module 6,Module 8",sensitive_hr_data,"Manages confidential employee relations, compensation data, and HR policies."
Wayleaves Officer,Legal,medium,basic,"Module 1,Module 2,Module 4,Module 6","Module 3,Module 5",land_data,Handles sensitive landowner information and legal right-of-way documentation.
Office Attendant,Human Resource and Administration,standard,basic,"Module 1,Module 6","Module 3,Module 5",physical_office_security,Provides general office support and plays a key role in maintaining physical office security.
